,Team_1,Team_2,League_Rank_1,League_Rank_2,Games_played_1,Games_played_2,Points_1,Points_2,Won_1,Draw_1,Lost_1,Won_2,Draw_2,Lost_2,Goals_Scored_1,Goals_Scored_2,Goals_Rec_1,Goal_Rec_2,Goals_Diff_1,Goals_Diff_2,League_type_country,Large_Diff_win,Won_out_of_6,Avrage_FT_Goal,Average_HT_Goal,Results_1,Results_2,H2H_Side,H2H_Outcome,H2H_Goals_Home,H2H_Goals_Away
4292,cagliari,sampdoria,15,9,6,6,6,8,1,3,2,2,2,2,4,9,7,3,-3,6,italy,0,0,2.83,1.5,0,0,H,D,0,0
4296,genoa,bologna,16,18,2,3,3,1,1,0,1,0,1,2,5,0,6,4,-1,-4,italy,0,4,1.5,0.16,1,0,H,L,0,2
4308,chievo,torino,20,15,6,6,-1,6,0,2,4,1,3,2,5,5,15,7,-10,-2,italy,0,0,2.16,1.0,0,1,H,D,0,0
4309,bologna,udinese,18,10,6,6,4,8,1,1,4,2,2,2,2,7,7,6,-5,1,italy,0,4,2.16,1.0,2,1,A,L,0,1
4318,parma,cagliari,16,12,4,4,4,5,1,1,2,1,2,1,4,4,5,5,-1,-1,italy,4,0,1.5,0.83,2,0,A,L,0,4
4319,udinese,torino,12,11,3,3,4,4,1,1,1,1,1,1,3,3,3,3,0,0,italy,0,0,3.66,1.16,1,1,H,L,0,2
4382,benevento,foggia,3,19,5,6,10,1,3,1,1,3,0,3,12,11,8,11,4,0,italy,0,0,2.16,1.0,1,3,A,D,1,1
4421,sassuolo,genoa,7,11,2,1,4,3,1,1,0,1,0,0,3,2,2,1,1,1,italy,0,0,1.33,0.33,5,3,H,W,1,0
4432,crotone,brescia,9,8,5,5,6,6,2,0,3,1,3,1,7,7,8,7,-1,0,italy,3,0,2.5,1.33,2,2,A,L,0,3
4463,perugia,ascoli,4,15,2,2,4,1,1,1,0,0,1,1,2,1,1,2,1,-1,italy,0,0,2.0,0.66,2,0,H,D,2,2
4486,padova,cremonese,13,8,3,3,4,5,1,1,1,1,2,0,2,5,4,3,-2,2,italy,0,0,3.33,1.5,1,1,H,W,2,1
4503,livorno,crotone,17,11,1,2,0,3,0,0,1,1,0,1,1,4,2,4,-1,0,italy,0,4,1.5,0.66,0,1,H,L,0,1
4567,palermo,perugia,7,9,3,2,5,4,1,2,0,1,1,0,4,3,3,1,1,2,italy,0,0,1.0,0.0,4,1,A,L,0,1
4635,ascoli,cremonese,12,5,4,5,5,9,1,2,1,2,3,0,3,8,4,4,-1,4,italy,0,0,1.5,1.0,0,0,A,W,2,1
4649,spezia,carpi,11,15,5,5,6,4,2,0,3,1,1,3,5,5,7,10,-2,-5,italy,0,5,1.5,0.5,2,1,A,L,1,2
4650,lecce,cittadella,2,6,6,6,11,9,3,2,1,3,0,3,11,6,7,3,4,3,italy,4,0,4.5,2.5,1,1,H,L,1,5
4656,juventus u19,milan u19,1,16,3,3,9,0,3,0,0,0,0,3,7,4,3,12,4,-8,italy,0,0,0.5,0.0,4,3,H,D,0,0
4662,lucchese,carrarese,5,1,3,3,4,7,1,1,1,2,1,0,6,11,5,3,1,8,italy,0,0,4.0,1.83,2,2,H,D,2,2
4666,foggia,padova,19,13,4,4,-5,5,1,0,3,1,2,1,6,3,9,5,-3,-2,italy,0,0,2.0,0.0,2,1,H,D,1,1
4668,cittadella,benevento,5,3,5,4,9,10,3,0,2,3,1,0,6,11,2,5,4,6,italy,0,0,2.25,1.5,0,1,H,L,0,1
4696,crotone,hellas verona,4,2,3,3,6,7,2,0,1,2,1,0,5,8,4,2,1,6,italy,3,0,3.5,1.5,1,2,A,W,3,0
4736,brescia,pescara,14,5,2,2,1,4,0,1,1,1,1,0,3,3,4,2,-1,1,italy,0,4,3.33,1.83,1,1,H,W,2,1
4773,spezia,brescia,16,12,1,1,0,1,0,0,1,0,1,0,0,1,1,1,-1,0,italy,0,0,2.0,0.83,3,2,H,L,0,1
4774,carpi,cittadella,17,2,1,1,0,3,0,0,1,1,0,0,2,3,4,0,-2,3,italy,0,4,2.33,1.66,0,1,H,D,1,1
