,Team_1,Team_2,League_Rank_1,League_Rank_2,Games_played_1,Games_played_2,Points_1,Points_2,Won_1,Draw_1,Lost_1,Won_2,Draw_2,Lost_2,Goals_Scored_1,Goals_Scored_2,Goals_Rec_1,Goal_Rec_2,Goals_Diff_1,Goals_Diff_2,League_type_country,Large_Diff_win,Won_out_of_6,Avrage_FT_Goal,Average_HT_Goal,Results_1,Results_2,H2H_Side,H2H_Outcome,H2H_Goals_Home,H2H_Goals_Away
3721,valenciennes,gfc ajaccio,8,7,4,4,7,7,2,1,1,2,1,1,6,7,5,6,1,1,france,0,0,2.5,1.0,0,0,A,W,4,3
3740,nancy,lens,19,4,2,2,0,6,0,0,2,2,0,0,0,3,4,0,-4,3,france,0,0,1.5,0.66,0,3,H,D,1,1
3773,nantes,caen,16,15,3,3,1,2,0,1,2,0,2,1,2,2,6,5,-4,-3,france,0,4,2.33,1.16,1,1,H,W,3,2
3777,troyes,metz,16,1,4,4,3,12,1,0,3,4,0,0,2,12,5,4,-3,8,france,0,0,1.5,0.33,0,1,A,L,0,1
3818,niort,clermont,2,12,2,2,4,2,1,1,0,0,2,0,2,0,1,0,1,0,france,0,0,2.5,0.5,4,2,A,D,2,2
3821,paris sg,troyes,8,19,5,5,8,3,2,2,1,1,0,4,5,2,6,6,-1,-4,france,0,6,3.83,0.83,2,0,A,W,2,0
3822,valenciennes,clermont,6,14,5,5,8,5,2,2,1,1,2,2,6,5,5,7,1,-2,france,3,4,1.83,1.0,0,4,H,W,3,0
3837,grenoble,chateauroux,8,14,4,4,7,3,2,1,1,0,3,1,3,3,3,4,0,-1,france,0,0,2.5,0.83,0,0,H,D,1,1
3838,ajaccio,lorient,15,3,4,4,3,10,1,0,3,3,1,0,4,8,7,3,-3,5,france,0,0,3.33,2.0,0,0,H,W,3,2
3839,brest,le havre,13,12,4,4,4,6,1,1,2,1,3,0,3,2,5,1,-2,1,france,0,0,1.0,0.5,1,0,H,W,1,0
3885,gfc ajaccio,lorient,6,7,2,2,4,4,1,1,0,1,1,0,4,2,3,1,1,1,france,3,0,2.2,1.4,1,3,A,L,1,4
3906,chateauroux,nancy,15,20,5,5,4,0,0,4,1,0,0,5,3,0,4,9,-1,-9,france,0,5,4.16,2.0,1,0,A,L,0,1
3937,clermont,sochaux,17,10,4,4,2,6,0,2,2,2,0,2,4,5,7,4,-3,1,france,0,0,2.83,1.16,1,0,H,L,1,3
4005,auxerre,brest,11,9,5,5,6,7,2,0,3,2,1,2,7,4,7,5,0,-1,france,0,0,1.66,0.5,0,2,A,W,2,1
4006,le havre,orleans,13,18,5,5,6,4,1,3,1,1,1,3,2,6,2,11,0,-5,france,0,0,3.16,1.66,3,1,A,L,1,2
4015,lille,guingamp,3,20,3,3,7,0,2,1,0,0,0,3,6,2,1,8,5,-6,france,3,0,2.0,0.83,3,0,H,W,3,0
4092,avranches,pau fc,5,17,2,1,4,0,1,1,0,0,0,1,2,0,1,1,1,-1,france,0,0,1.0,0.5,1,0,A,D,0,0
4134,ajaccio,sochaux,12,17,2,2,3,0,1,0,1,0,0,2,1,0,1,2,0,-2,france,0,0,3.0,1.66,2,3,H,W,3,2
4135,brest,paris fc,11,5,2,2,3,4,1,0,1,1,1,0,2,3,2,1,0,2,france,0,0,2.6,0.6,1,1,H,L,0,1
4175,paris sg,reims,1,14,7,7,21,8,7,0,0,2,2,3,24,4,6,9,18,-5,france,3,4,3.66,1.83,4,1,H,W,4,1
4193,nice,paris sg,11,1,7,7,10,21,3,1,3,7,0,0,6,24,9,6,-3,18,france,0,4,3.66,2.0,0,3,H,L,1,2
4199,tienne - paris sg,sain,1,9,4,4,12,6,4,0,0,1,3,0,13,3,4,2,9,1,france,0,0,3.0,1.16,4,0,A,D,1,1
4202,saint etienne,monaco,6,18,7,7,12,6,3,3,1,1,3,3,8,8,9,9,-1,-1,france,0,0,2.0,0.83,2,0,A,L,0,1
4212,monaco,angers,16,12,6,6,6,7,1,3,2,2,1,3,8,8,8,9,0,-1,france,4,5,2.16,1.0,0,1,A,W,4,0
4213,lyon,marseille,11,5,5,5,7,10,2,1,2,3,1,1,6,14,4,7,2,7,france,0,0,2.66,0.83,4,2,H,W,3,2
4220,lyon,nantes,3,19,7,7,13,5,4,1,2,1,2,4,13,7,6,12,7,-5,france,0,4,2.5,0.83,1,1,H,W,2,0
4222,dijon,lyon,8,2,7,7,10,13,3,1,3,4,1,2,9,13,9,6,0,7,france,3,4,5.33,2.33,0,3,H,L,0,3
4225,lille,nantes,3,17,5,5,10,5,3,1,1,1,2,2,9,5,4,8,5,-3,france,0,4,2.33,0.5,2,1,H,D,2,2
4232,monaco,marseille,12,11,3,3,4,4,1,1,1,1,1,1,4,7,3,5,1,2,france,0,5,5.0,2.5,2,3,A,D,2,2
4235,lille,marseille,6,5,8,8,14,14,4,2,2,4,2,2,11,19,6,13,5,6,france,3,0,2.33,0.83,3,0,H,W,3,0
4238,marseille,strasbourg,3,13,7,7,13,8,4,1,2,2,2,3,19,11,13,11,6,0,france,0,0,4.0,1.66,3,2,H,W,3,2
4246,guingamp,bordeaux,20,19,5,5,0,4,0,0,5,1,1,3,3,6,14,10,-11,-4,france,0,4,3.83,1.66,1,3,H,W,2,1
