,Team_1,Team_2,League_Rank_1,League_Rank_2,Games_played_1,Games_played_2,Points_1,Points_2,Won_1,Draw_1,Lost_1,Won_2,Draw_2,Lost_2,Goals_Scored_1,Goals_Scored_2,Goals_Rec_1,Goal_Rec_2,Goals_Diff_1,Goals_Diff_2,League_type_country,Large_Diff_win,Won_out_of_6,Avrage_FT_Goal,Average_HT_Goal,Results_1,Results_2,H2H_Side,H2H_Outcome,H2H_Goals_Home,H2H_Goals_Away,Goals_scored_diff,Goals_Rec_diff,Goals_Diff_diff,Diff_Goal_Match
2403,union berlin,sv darmstadt 98,3,12,15,15,25,18,5,10,0,5,3,7,21,17,10,21,11,-4,germany,0,0,4.25,1.5,3,1,A,L,1,3,4,-11,15,2
2422,sc paderborn 07,sv darmstadt 98,9,13,17,17,25,19,6,7,4,5,4,8,36,21,28,27,8,-6,germany,0,0,1.5,0.0,6,2,A,L,0,1,15,1,14,4
2452,hansa rostock,vfr aalen,8,19,18,18,26,16,7,5,6,3,7,8,26,22,27,29,-1,-7,germany,0,0,1.83,0.83,1,1,A,L,0,1,4,-2,6,0
2500,greuther furth,erzgebirge aue,8,13,15,15,23,15,6,5,4,4,3,8,21,15,24,21,-3,-6,germany,0,0,2.0,0.66,0,5,A,L,1,2,6,3,3,-5
2501,sv darmstadt 98,fc ingolstadt 04,12,18,15,15,17,8,5,2,8,1,5,9,18,14,24,31,-6,-17,germany,0,4,2.83,1.0,1,1,H,D,1,1,4,-7,11,0
2518,sv sandhausen,fc heidenheim,16,11,15,15,13,20,3,4,8,5,5,5,15,21,22,20,-7,1,germany,3,0,2.33,1.5,1,2,A,L,0,3,-6,2,-8,-1
2597,arminia bielefeld,fc heidenheim,14,6,17,17,18,27,4,6,7,7,6,4,21,28,26,22,-5,6,germany,0,-4,3.33,0.83,1,2,A,D,1,1,-7,4,-11,-1
2598,fc ingolstadt 04,ssv jahn regensburg,18,10,17,17,10,23,1,7,9,5,8,4,16,29,33,27,-17,2,germany,0,0,4.5,1.83,1,2,A,L,1,2,-13,6,-19,-1
2629,erzgebirge aue,sv darmstadt 98,12,13,17,17,19,19,5,4,8,5,4,8,20,19,21,25,-1,-6,germany,0,0,1.25,0.5,2,2,A,L,0,1,1,-4,5,0
2630,sv sandhausen,ssv jahn regensburg,16,9,17,17,12,23,2,6,9,5,8,4,17,28,26,26,-9,2,germany,0,0,3.33,2.16,2,2,A,L,1,2,-11,0,-11,0
2631,fc ingolstadt 04,fc heidenheim,18,6,17,17,10,27,1,7,9,7,6,4,15,27,32,21,-17,6,germany,0,6,2.83,1.0,1,1,A,W,2,1,-12,11,-23,0
2710,vfl osnabruck,wehen wiesbaden,1,7,17,17,34,27,9,7,1,8,3,6,25,34,12,23,13,11,germany,4,0,3.33,1.83,2,1,A,L,1,5,-9,-11,2,1
2711,karlsruher sc,preuen munster,2,6,17,17,32,29,9,5,3,9,2,6,25,28,19,20,6,8,germany,3,0,2.75,1.0,5,0,H,W,3,0,-3,-1,-2,5
2722,1 ffc turbine potsdam,vfl wolfsburg,3,1,10,10,22,30,7,1,2,10,0,0,32,48,7,2,25,46,germany,0,0,3.5,1.33,1,1,H,L,0,1,-16,5,-21,0
2728,werder bremen,sc freiburg,11,8,10,10,4,11,1,1,8,3,2,5,6,16,24,17,-18,-1,germany,0,0,3.16,1.5,0,3,A,D,1,1,-10,7,-17,-3
2733,hansa rostock,vfl osnabruck,8,1,16,16,25,33,7,4,5,9,6,1,24,24,24,11,0,13,germany,0,0,1.83,0.66,1,1,A,D,1,1,0,13,-13,0
2745,msv duisburg,holstein kiel,15,9,15,15,14,22,3,5,7,5,7,3,13,24,20,22,-7,2,germany,5,4,2.66,1.5,0,4,A,L,0,5,-11,-2,-9,-4
2756,fv illertissen,bayern munchen am,11,2,21,18,26,38,7,5,9,11,5,2,30,36,38,16,-8,20,germany,0,0,1.83,1.5,0,2,A,L,0,2,-6,22,-28,-2
2786,borussia dortmund,fsv mainz,4,14,34,34,55,36,15,10,9,9,9,16,64,38,47,52,17,-14,germany,0,5,2.83,0.83,1,2,H,L,0,2,26,-5,31,-1
2801,bayern munchen,vfb stuttgart,1,7,34,34,84,51,27,3,4,15,6,13,92,36,28,36,64,0,germany,0,6,2.33,1.16,1,4,A,W,1,0,56,-8,64,-3
2844,fc augsburg,schalke 04,12,2,34,34,41,63,10,11,13,18,9,7,43,53,46,37,-3,16,germany,0,0,3.0,1.33,1,2,A,W,2,1,-10,9,-19,-1
2875,schalke 04,eintracht frankfurt,2,8,34,34,63,49,18,9,7,14,7,13,53,45,37,45,16,0,germany,0,0,1.5,0.5,1,0,H,L,0,1,8,-8,16,1
2877,hertha bsc,rb leipzig,10,6,34,34,43,53,10,13,11,15,8,11,43,57,46,53,-3,4,germany,0,0,4.0,1.33,2,6,H,L,2,3,-14,-7,-7,-4
2887,rb leipzig,vfl wolfsburg,6,16,34,34,53,33,15,8,11,6,15,13,57,36,53,48,4,-12,germany,3,0,2.66,1.66,4,1,H,W,4,1,21,5,16,3
3002,bayer leverkusen,hannover 96,5,13,34,34,55,39,15,10,9,10,9,15,58,44,44,54,14,-10,germany,0,4,3.66,1.83,3,2,H,D,4,4,14,-10,24,1
3018,hannover 96,hertha berlin,13,10,34,34,39,43,10,9,15,10,13,11,44,43,54,46,-10,-3,germany,0,0,3.16,1.0,3,1,A,L,1,3,1,8,-7,2
