,Results_1,Results_2,League_Rank_1,League_Rank_2,Goals_Scored_1,Goals_Scored_2,Goals_Rec_1,Goal_Rec_2,Goals_Diff_1,Goals_Diff_2,H2H_Goals_Home,H2H_Goals_Away,Diff_Goal_Match
496,3,0,1,23,15,7,5,12,10,-5,0,2,3
497,1,1,10,1,14,19,14,7,0,12,2,1,0
498,4,2,6,8,6,6,5,5,1,1,1,1,2
499,0,2,10,17,3,2,4,4,-1,-2,2,1,-2
500,2,2,12,11,3,5,5,7,-2,-2,1,2,0
501,2,0,4,12,9,9,3,10,6,-1,2,0,2
502,1,0,8,5,13,14,11,10,2,4,0,1,1
503,0,1,1,16,14,8,4,10,10,-2,1,3,-1
504,4,2,8,3,16,12,10,6,6,6,1,0,2
505,1,1,20,9,4,15,6,9,-2,6,1,2,0
506,2,2,17,23,7,6,8,12,-1,-6,1,0,0
507,1,1,16,1,6,14,8,4,-2,10,4,3,0
508,1,1,3,5,14,10,3,5,11,5,3,1,0
509,2,0,18,17,11,7,14,13,-3,-6,3,1,2
510,2,2,7,20,16,12,10,13,6,-1,1,0,0
511,1,0,15,6,9,13,12,10,-3,3,0,3,1
512,1,1,24,2,5,14,11,6,-6,8,0,1,0
513,2,1,11,17,11,8,10,11,1,-3,3,2,1
514,1,1,21,2,9,11,16,3,-7,8,1,3,0
515,1,0,20,6,9,7,13,5,-4,2,2,1,1
516,0,0,7,13,10,8,9,9,1,-1,0,1,0
517,1,0,18,2,9,9,12,2,-3,7,1,0,1
518,1,0,15,4,5,10,11,8,-6,2,1,1,1
519,5,1,9,24,8,6,6,16,2,-10,2,1,4
520,1,1,22,9,9,10,19,7,-10,3,1,2,0
521,0,2,8,1,4,7,5,2,-1,5,0,2,-2
522,1,2,16,10,5,5,6,4,-1,1,2,0,-1
523,1,2,19,6,5,8,9,7,-4,1,0,4,-1
524,3,0,14,16,7,7,6,15,1,-8,1,1,3
525,2,2,12,9,11,11,11,9,0,2,1,0,0
526,2,3,24,3,9,22,18,12,-9,10,2,3,-1
527,0,0,1,4,13,13,4,6,9,7,1,1,0
528,1,3,24,12,5,7,13,4,-8,3,2,1,-2
529,1,1,1,7,15,6,4,3,11,3,1,1,0
